Thr_F,Thr_UF,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
0.31,0.49,37,0.4650122352885644,0.003733264723006927,0.4917002746738849,0.0019965936765339518
0.31,0.51,37,0.4713580863068739,0.003231464795271686,0.4913445715574099,0.0020139851843560706
0.31,0.53,37,0.4946234524440847,0.0018585886400783078,0.4934787902562597,0.0019115975215798886
0.31,0.55,37,0.5293954965324197,0.0007538622712735103,0.5167180605326237,0.001059233642040375
0.31,0.57,37,0.5662017613739527,0.0002594401641385403,0.5550154294064276,0.0003635278415436946
0.31,0.59,37,0.5928027272962882,0.00011059963230268176,0.562722330263385,0.0002885122336806497
0.31,0.61,37,0.6004680387713459,8.52956318931847e-05,0.5704292311203425,0.0002276664150087866
0.31,0.63,37,0.5950580403902563,0.00010253088225481941,0.5623666271469101,0.0002916426734212927
0.31,0.65,37,0.5989903956821897,8.972234553203283e-05,0.5723263144082088,0.00021457863724663344
0.31,0.67,37,0.5497119353578274,0.00042481919877008253,0.5850130588958157,0.0001430614691158451
0.31,0.69,37,0.5988579245693822,9.012915485776888e-05,0.5908228764649067,0.000118149843844776
0.31,0.71,37,0.628605401722218,3.096332226223966e-05,0.6065923812952967,6.897407122285247e-05
0.31,0.73,37,0.6280743665998395,3.1590228803019134e-05,0.5871472775946656,0.00013340858760354938
0.31,0.75,37,0.6448828742245146,1.644257983055629e-05,0.5931942305747399,0.00010915918283062507
0.31,0.77,37,0.6370926767979787,2.2361311465920016e-05,0.5819302985530327,0.00015811526492194667
0.31,0.79,37,0.6020382309718252,8.080860765243866e-05,0.5735119914631255,0.00020674562720420664
0.31,0.81,37,0.6111684890133627,5.8682983966012705e-05,0.5534740492350361,0.00038047006262274515
0.31,0.83,37,0.4726444470693953,0.003137238357200236,0.4516243902177062,0.005018271704600729
0.31,0.85,37,0.4256653974240222,0.00862395608533307,0.4049087142539949,0.0129214401518275
0.31,0.87,37,0.45811068108009567,0.0043545836178897806,0.41818829726906004,0.010004430965466396
0.31,0.89,37,0.5440406060515476,0.0005004130635784652,0.4963244151880593,0.001782201800447183
0.31,0.91,36,0.24898862599479732,0.1430889878911302,0.481302705760461,0.002960661122933146
0.31,0.93,36,0.45453326786009923,0.005353607971692456,0.5971551890940836,0.00012064681256858866
0.31,0.95,28,0.1574380268283079,0.4236470357552717,0.22666302519141274,0.24609828933208916
0.33,0.45,37,0.4588643677661115,0.004282638568616828,0.4649039732327713,0.003742381958113204
0.33,0.47,37,0.4670347383995988,0.0035664531460682844,0.46134694206802174,0.004052894466507195
0.33,0.49,37,0.47451232887569145,0.003004679752794236,0.458857020252697,0.004283334939652801
0.33,0.51,37,0.4809946316780239,0.0025817709439276545,0.4484230621694315,0.005376879606189738
0.33,0.53,37,0.5036332468557995,0.0014844665713490894,0.47877639477529466,0.0027202259165562312
0.33,0.55,37,0.5374762048067034,0.0006026945357053112,0.5069955086823081,0.0013628834082025447
0.33,0.57,37,0.5738270658897727,0.00020470776260825922,0.5533554815295444,0.00038180206035774125
0.33,0.59,37,0.5995251282219801,8.80970117819413e-05,0.5909414441703984,0.00011768493789793712
0.33,0.61,37,0.6065922503290488,6.897438772920547e-05,0.5746976685180419,0.00019917020757527945
0.33,0.63,37,0.6000696576726356,8.646925641551645e-05,0.5852501943067991,0.00014195874221014173
0.33,0.65,37,0.6037658940864175,7.61188062794426e-05,0.5865544390672073,0.00013602931985015143
0.33,0.67,37,0.5572085399909431,0.0003405836959250792,0.5901114702319569,0.0001209741962107056
0.33,0.69,37,0.6044022968693485,7.445421653914376e-05,0.608845167699638,6.371994681658061e-05
0.33,0.71,37,0.631355155779178,2.789408389170787e-05,0.5979369387944059,9.30037645179747e-05
0.33,0.73,37,0.6293432742877327,3.0110979456138233e-05,0.6031539178360387,7.775113954894198e-05
0.33,0.75,37,0.6414044183200945,1.888209726392981e-05,0.5760019132784501,0.00019112585832077114
0.33,0.77,37,0.6316183619051663,2.761529563483398e-05,0.5723263144082088,0.00021457863724663344
0.33,0.79,37,0.5982025441932304,9.216637701274776e-05,0.5602324084480603,0.0003110721249064103
0.33,0.81,37,0.6023004380195837,8.008044581893757e-05,0.5294048050202306,0.0007536703581866199
0.33,0.83,37,0.47291098667163217,0.003118016495164961,0.42992650011273364,0.007912652500664143
0.33,0.85,37,0.4316112185790359,0.00764561546399429,0.4094142870626777,0.01186017704098235
0.33,0.87,37,0.4589199838724351,0.00427737065499731,0.39732038110252915,0.014890271625564255
0.33,0.89,37,0.5437600872782524,0.0005044452327854818,0.4939530610782263,0.001889475338116688
0.33,0.91,36,0.2596182746177446,0.1262422166776257,0.4868378799641785,0.002603776718546061
0.33,0.93,36,0.4578686943415247,0.004985267162020256,0.58119329139034,0.00020159506030870188
0.33,0.95,28,0.1638186571910541,0.40485916620156226,0.23788667740499722,0.22285160573480245
0.35,0.45,37,0.45106844425129733,0.005079022241367614,0.46371829617785476,0.003843506275514046
0.35,0.47,37,0.458693065845005,0.004298899503109711,0.45814561401974707,0.0043512260078297305
0.35,0.49,37,0.4651698586996355,0.003720025051519609,0.4640739992943297,0.0038129227514945006
0.35,0.51,37,0.471113503058873,0.0032496568152304787,0.43514347915436646,0.007110705781835867
0.35,0.53,37,0.49219615152214635,0.0019725685030236115,0.45684136925933894,0.00447811728751002
0.35,0.55,37,0.5239069957804372,0.0008748649788406967,0.4913445715574099,0.0020139851843560706
0.35,0.57,37,0.5587063586792341,0.0003256666959621382,0.5156509511831987,0.0010893440041179385
0.35,0.59,37,0.5825913570905982,0.00015477221938602745,0.5640265750237933,0.00027728967195740525
0.35,0.61,37,0.5881668195540081,0.00012900766193206232,0.5684135801269844,0.00024235248762730487
0.35,0.63,37,0.5817715630124431,0.00015892761323033333,0.5497984503647948,0.0004237496296867929
0.35,0.65,37,0.58459172152327,0.00014503980120810528,0.5413801432748875,0.0005398361834120045
0.35,0.67,37,0.5410300746857344,0.0005452242193996731,0.5441072005011955,0.0004994600648991132
0.35,0.69,37,0.5863679062898842,0.0001368634479318705,0.5794403767377081,0.00017129786044802018
0.35,0.71,37,0.6091298132654447,6.308250151655705e-05,0.5891629285880235,0.0001248345812754549
0.35,0.73,37,0.6053288004631995,7.208959438421895e-05,0.5499170180702865,0.00042228770223603324
0.35,0.75,37,0.6174120964121583,4.688061932651001e-05,0.5497984503647948,0.0004237496296867929
